"","CPSID","CPSIDP","public_housing","age","female","race","marital_status","veteran","employed","education","worked_last_year","total_income_last_year","wage_income_last_year","own_farm_income_last_year","private_health_insurance","medicaid","class_of_worker","class_of_worker_last_year","union","earnings"
"2535",20181203963700,20181203963702,1,35,0,1,1,0,1,60,1,52200,51000,0,1,0,21,22,0,950
"2538",20181203937000,20181203937002,0,34,1,1,1,0,1,123,1,25000,25000,0,1,0,21,27,0,479
"2540",20171204037300,20171204037301,NA,37,0,6,2,0,1,73,1,79500,79500,0,1,0,21,22,0,2885
"2546",20171204013400,20171204013404,0,18,0,1,6,0,1,73,1,22000,22000,0,0,1,21,22,0,284
"2547",20171204013400,20171204013402,0,37,1,1,6,0,1,81,1,13700,2000,0,0,0,21,22,0,294
"2559",20181203945200,20181203945201,NA,56,0,1,6,1,1,111,1,100550,100000,0,1,0,21,22,0,2885
"2560",20181203945200,20181203945202,NA,28,0,1,1,0,1,73,1,55401,55000,0,1,0,21,22,0,840
"2564",20171204034200,20171204034201,NA,46,1,1,1,0,1,123,1,156000,156000,0,1,0,21,22,0,2885
"2565",20171204034200,20171204034202,NA,47,0,1,1,0,1,73,1,52000,52000,0,1,0,21,22,0,1040
"2569",20171204021800,20171204021802,NA,45,1,1,4,0,1,73,1,29812,29682,0,1,0,21,22,0,646
"2579",20181203939400,20181203939402,NA,57,1,1,1,0,1,91,1,62009,62000,0,1,0,21,22,0,923
"2580",20181203939400,20181203939403,NA,26,0,1,6,0,1,73,1,60000,60000,0,1,0,21,22,0,762
"2590",20181203937300,20181203937301,NA,55,0,1,4,0,1,111,1,201670,200000,0,1,0,21,22,0,865
"2592",20181203937300,20181203937303,NA,50,1,1,4,0,1,73,1,66012,64000,0,1,0,21,22,0,720
"2595",20171204023500,20171204023501,NA,31,1,1,1,0,1,123,1,57070,49000,0,1,0,21,22,0,560
"2596",20171204023500,20171204023502,NA,32,0,1,1,0,1,123,1,65876,64000,0,1,0,21,22,0,1730
"2705",20171204025000,20171204025001,NA,59,1,1,5,0,1,123,1,117979,73826,0,1,0,28,28,1,1420
"2715",20171203993300,20171203993301,0,68,1,1,5,0,1,92,1,70859,53000,0,1,0,25,25,0,836
"2716",20171203993300,20171203993302,0,29,0,1,6,0,1,81,1,25000,25000,0,0,1,21,22,0,420
"2740",20171204026600,20171204026602,NA,68,1,1,1,0,1,123,1,66526,65000,0,0,0,28,22,1,1240
"2760",20181203927600,20181203927601,NA,25,0,1,6,0,1,111,1,70500,70000,0,1,0,21,22,0,1346
"2761",20181203927600,20181203927602,NA,24,1,1,6,0,1,111,1,42000,42000,0,1,0,21,22,0,808
"2771",20171204011500,20171204011502,NA,60,1,1,1,0,1,111,1,46003,45000,0,0,0,21,22,0,1000
"2777",20171204025800,20171204025801,NA,40,1,1,2,0,1,123,0,3,0,0,0,0,21,0,0,1538
"2780",20171204003700,20171204003701,NA,68,1,1,6,0,1,81,1,48020,32000,0,0,0,21,22,0,192
